Synthesis Results,,,,,,,,,,,,,,,,,,,,,,
All are 16 x 16 multipliers,,,,,,,,,,,,,,,,,,,,,,
Target FPGA : EP2C35F672C7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Adder Used : Ripple Carry Adder (RCA),,,,,,,,,,,,,,,,,,,,,,
Pipelining Standards : I/P Register + Every 2 Stage Registers + O/P Register,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Metric,Why it matters?,Wallace,Dadda,Custom Greedy,Row Adder,Array Carry Save,Linear Vector Carry Save,Tree Vector Carry Save,Vedic,Braun,Booth Wallace,,,Booth Dadda,,,Baugh-Wooley,,Wallace (with KSA),,,
,,,,,,,,,,,Radix2,Radix4,Radix8,Radix2,Radix4,Radix8,Wallace,Dadda,,,,
Maximum Frequency (Fmax) (MHz),Maximum Operating Clock,56.16,57.32,29.64,29.67,44.74,51.04,46.35,52.16,54.63,49.67,53.05,55.98,49.96,62.9,54.91,,,,,,
Critical Path Delay (ns),Direct Speed Comparison,17.81,17.45,33.74,33.7,22.35,19.59,21.57,19.17,18.3,20.13,18.85,17.86,20.01,15.9,18.21,,,,,,
Static Thermal Power (mW),Idle Power,80.72,80.85,80.54,86.24,83.11,80.85,80.12,80.3,80.05,80.01,80.46,80.04,80.03,81.02,80.75,,,,,,
Dynamic Thermal Power (mW),Switching Power,228.94,266.29,174.8,1680,892.08,265.94,51.9,105.67,29.51,20.12,151.04,26.79,25.05,314.94,237.43,,,,,,
I/O Thermal Power (mW),Same across the same board so can be ignored,37.24,37.48,37.7,37.59,37.52,37.61,37.7,37.61,37.64,37.48,37.58,37.57,37.59,37.61,37.59,,,,,,
Total Thermal Power,Total Power,346.9,384.62,293.04,1803.83,1012.71,384.39,169.72,223.58,147.2,137.62,269.08,144.4,142.67,433.56,355.77,,,,,,
Resource Utilization (%),FPGA occupancy,2%,2%,2%,2%,2%,3%,1%,3%,2%,2%,3%,2%,2%,2%,2%,,,,,,
Signed,To know what sort of operations it can perform,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
Area Delay Product (ADP) (LE.ns),LE x Delay,11576.50,11045.85,22200.92,27263.30,15577.95,16964.94,10741.86,18863.28,11766.90,14876.07,17737.85,11001.76,14527.26,12227.10,13111.20,,,,,,
Power Delay Product (PDP) (nJ),Dynamic Power x Delay,4.077,4.647,5.898,56.616,19.938,5.210,1.119,2.026,0.540,0.405,2.847,0.478,0.501,5.008,4.324,,,,,,
Energy Delay Product (EDP) (nJ.ns),Dynamic Power x Delay²,72.62,81.09,198.99,1907.96,445.61,102.06,24.15,38.83,9.88,8.15,53.67,8.55,10.03,79.62,78.73,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
